AREAGEOGRAFICA,REGIONE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,SITOWEBSCUOLA,SEDESCOLASTICA,Alunni,Full Address,Latitude,Longitude,ORDINESCUOLA
NORD OVEST,LIGURIA,GENOVA,GEIC81500B,I.C. VALTREBBIA,GEEE81503G,S.EL.-R.VOLPI-DAVAGNA,VIA BOMBRINI 13 B,Non Disponibile,GEIC81500B@istruzione.it,Non Disponibile,www.icvaltrebbia.gov.it,NO,29,"VIA BOMBRINI 13 B, GENOVA",44.4112205,8.8847452,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81500B,I.C. VALTREBBIA,GEMM81502D,IC VALTREBBIA/DAVAGNA,VIA BOMBRINI 13 A,Non Disponibile,GEIC81500B@istruzione.it,Non Disponibile,www.icvaltrebbia.gov.it,NO,19,"VIA BOMBRINI 13 A, GENOVA",44.4112205,8.8847452,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC816007,I.C. PONTEDECIMO,GEMM816018,I.C.PONTEX-SMS DON ORENGO,PIAZZA CESARE CELLINI 4,Non Disponibile,GEIC816007@istruzione.it,Non Disponibile,https//www.icpontedecimo.edu.it/,NO,197,"PIAZZA CESARE CELLINI 4, GENOVA",44.4972533,8.9016317,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC816007,I.C. PONTEDECIMO,GEEE816019,S.EL. - N.GALLINO -,VIA ISOCORTE 1 B,Non Disponibile,GEIC816007@istruzione.it,Non Disponibile,www.icpontedecimo.it,NO,325,"VIA ISOCORTE 1 B, GENOVA",44.4945405,8.9025091,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC816007,I.C. PONTEDECIMO,GEIC816007,I.C. PONTEDECIMO,VIA ISOCORTE 1 B,Non Disponibile,GEIC816007@istruzione.it,geic816007@pec.istruzione.it,Non Disponibile,NO,228,"VIA ISOCORTE 1 B, GENOVA",44.4945405,8.9025091,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC817003,IC CAMPOMORONE CERANESI,GEEE817037,S.EL.-E.DE AMICIS-ISOVERDE,VIA C. REBORA 21,Non Disponibile,GEIC817003@istruzione.it,Non Disponibile,WWW.ICCAMPOMORONECERANESI.GOV.IT,NO,32,"VIA C. REBORA 21, GENOVA",44.5295567,8.8675434,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC817003,IC CAMPOMORONE CERANESI,GEEE817026,S.EL.-GIOVANNI XXIII-CAMPORA,VIA BIANCHINI,Non Disponibile,GEIC817003@istruzione.it,Non Disponibile,WWW.ICCAMPOMORONECERANESI.GOV.IT,NO,51,"VIA BIANCHINI, GENOVA",44.4071448,8.9347381,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC817003,IC CAMPOMORONE CERANESI,GEIC817003,IC CAMPOMORONE CERANESI,VIA MARTIRI DELLA LIBERTA' 103 R,Non Disponibile,GEIC817003@istruzione.it,geic817003@pec.istruzione.it,Non Disponibile,NO,,"VIA MARTIRI DELLA LIBERTA' 103 R, GENOVA",44.5066002,8.8892296,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC817003,IC CAMPOMORONE CERANESI,GEEE817059,FABRIZIO DE ANDRE',VIA BADELLI,Non Disponibile,GEIC817003@istruzione.it,Non Disponibile,WWW.ICCAMPOMORONECERANESI.GOV.IT,NO,87,"VIA BADELLI, GENOVA",44.5067196,8.8732076,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC817003,IC CAMPOMORONE CERANESI,GEMM817014,I.C.CAMPOMORONE /SMS A. NOLI,VIA MARTIRI LIBERTA' 103R,Non Disponibile,GEIC817003@istruzione.it,Non Disponibile,https//www.iccampomoroneceranesi.edu.it/,NO,293,"VIA MARTIRI LIBERTA' 103R, GENOVA",44.5066002,8.8892296,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC817003,IC CAMPOMORONE CERANESI,GEEE817015,S.EL. - SAN G.BOSCO -,VIA A. DE GASPERI 61,Non Disponibile,GEIC817003@istruzione.it,Non Disponibile,https//iccampomoroneceranesi.edu.it/pagine/contatti-san-giovanni-bosco,NO,195,"VIA A. DE GASPERI 61, GENOVA",44.5077066,8.8892941,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81800V,I.O. VALLESCRIVIA,GEEE818011,S.EL. DE AMICIS RONCO SCRIVIA,VIA C. BATTISTI 63,Non Disponibile,GEIC81800V@istruzione.it,Non Disponibile,WWW.IOVALLESCRIVIA.EDU.IT,NO,102,"VIA C. BATTISTI 63, GENOVA",44.3968442,8.953154,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81800V,I.O. VALLESCRIVIA,GEEE818044,Non Disponibile,Non Disponibile,Non Disponibile,GEIC81800V@istruzione.it,Non Disponibile,www.icronco.it,NO,,"Non Disponibile, GENOVA",44.4071448,8.9347381,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC81800V,I.O. VALLESCRIVIA,GEMM818021,I.C. RONCO SCRIVIA/SMS PASCOLI,CORSO ITALIA25,Non Disponibile,GEIC81800V@istruzione.it,Non Disponibile,WWW.IOVALLESCRIVIA.EDU.IT,NO,103,"CORSO ITALIA25, GENOVA",44.4071448,8.9347381,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC81800V,I.O. VALLESCRIVIA,GEEE818033,S.EL.MALINVERNI ISOLA DEL C.,VIA CAMPOLUNGO 2,Non Disponibile,GEIC81800V@istruzione.it,Non Disponibile,www.iovallescrivia.edu.it,NO,38,"VIA CAMPOLUNGO 2, GENOVA",44.508727,8.877793,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81800V,I.O. VALLESCRIVIA,GEIC81800V,I.O. VALLESCRIVIA,CORSO TRENTO E TRIESTE 87,GEIS017007,GEIC81800V@istruzione.it,geic81800v@pec.istruzione.it,WWW.IOVALLESCRIVIA.EDU.IT,NO,,"CORSO TRENTO E TRIESTE 87, GENOVA",44.5863904,8.9372767,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC81800V,I.O. VALLESCRIVIA,GEEE818022,S.EL-S.LLE SORASIO-BORGOFORNARI,PIAZZA G.CARPANETO 3,Non Disponibile,GEIC81800V@istruzione.it,Non Disponibile,WWW.IOVALLESCRIVIA.EDU.IT,NO,54,"PIAZZA G.CARPANETO 3, GENOVA",44.588998,8.9361418,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81800V,I.O. VALLESCRIVIA,GEMM81801X,I.C.RONCO/SMS ISOLA DEL CANTONE,PIAZZA VITTORIO VENETO16,Non Disponibile,GEIC81800V@istruzione.it,Non Disponibile,WWW.IOVALLESCRIVIA.EDU.IT,NO,14,"PIAZZA VITTORIO VENETO16, GENOVA",44.4112895,8.8893582,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC82300A,I.C. BOLZANETO,GEEE82302D,SC.PRIMARIA- DOGE G.DA MURTA -,PIAZZA CHIESA MURTA 5A,Non Disponibile,GEIC82300A@istruzione.it,Non Disponibile,https//www.ic-bolzaneto.edu.it/,NO,83,"PIAZZA CHIESA MURTA 5A, GENOVA",44.461186,8.8901548,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC82300A,I.C. BOLZANETO,GEEE82301C,S.PRIMARIA- D.ALIGHIERI -,PIAZZA RISSOTTO 2,Non Disponibile,GEIC82300A@istruzione.it,Non Disponibile,https//www.ic-bolzaneto.edu.it/,NO,400,"PIAZZA RISSOTTO 2, GENOVA",44.45841,8.9020508,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC82300A,I.C. BOLZANETO,GEMM82301B,SCUOLA SEC. I GR. PIERO GASLINI,VIA BOLZANETO 11,Non Disponibile,GEIC82300A@istruzione.it,Non Disponibile,https//www.ic-bolzaneto.edu.it/,NO,310,"VIA BOLZANETO 11, GENOVA",44.4585293,8.9022139,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC824006,I.C. STAGLIENO,GEEE82405C,S.EL. DI S.GOTTARDO,VIA G.DE VINCENZI 30,Non Disponibile,Non Disponibile,Non Disponibile,www.icstaglieno.it,NO,202,"VIA G.DE VINCENZI 30, GENOVA",44.4497204,8.9697988,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC824006,I.C. STAGLIENO,GEEE82404B,SCUOLA PRIMARIA S.EUSEBIO,VIA VALTREBBIA 301,Non Disponibile,GEIC824006@istruzione.it,Non Disponibile,www.icstaglieno.it,NO,88,"VIA VALTREBBIA 301, GENOVA",44.4437203,8.9864439,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC824006,I.C. STAGLIENO,GEMM824017,I.C.STAGLIENO-SMS EX LUCARNO,VIA LODI,Non Disponibile,GEIC824006@istruzione.it,Non Disponibile,www.icstaglieno.it,NO,232,"VIA LODI, GENOVA",44.4404157,8.9584779,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC824006,I.C. STAGLIENO,GEEE82403A,SCUOLA PRIMARIA DI MONTESIGNANO,VIA TERPI 50,Non Disponibile,GEIC824006@istruzione.it,Non Disponibile,www.icstaglieno.it,NO,46,"VIA TERPI 50, GENOVA",44.4370074,8.9683991,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC824006,I.C. STAGLIENO,GEEE824018,SCUOLA PRIMARIA G.MAZZINI -,VIA LODI 4,Non Disponibile,GEIC824006@istruzione.it,Non Disponibile,www.icstaglieno.it,NO,185,"VIA LODI 4, GENOVA",44.4375978,8.9608142,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC824006,I.C. STAGLIENO,GEEE824029,S.EL. - H.C.ANDERSEN -,VIA MOGADISCIO 67,Non Disponibile,GEIC824006@istruzione.it,Non Disponibile,www.icstaglieno.it,NO,104,"VIA MOGADISCIO 67, GENOVA",44.4400764,8.9810326,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC825002,I.C. SAN TEODORO,GEEE825047,S.EL.ST. - DUCA DEGLI ABRUZZI,VIA A.CENTURIONE 19,Non Disponibile,Non Disponibile,Non Disponibile,www.icsanteodoro.edu.it,NO,120,"VIA A.CENTURIONE 19, GENOVA",44.4195171,8.9176067,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC825002,I.C. SAN TEODORO,GEIC825002,I.C. SAN TEODORO,VIA BOLOGNA 6 A,Non Disponibile,GEIC825002@istruzione.it,geic825002@pec.istruzione.it,https//icsanteodoro.edu.it/,NO,305,"VIA BOLOGNA 6 A, GENOVA",44.4177287,8.9082746,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC825002,I.C. SAN TEODORO,GEMM825013,I.C. SAN TEODORO/S.M.S.,VIA BOLOGNA 6 A,Non Disponibile,GEIC825002@istruzione.it,Non Disponibile,www.icsanteodoro.edu.it,NO,242,"VIA BOLOGNA 6 A, GENOVA",44.4177287,8.9082746,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC825002,I.C. SAN TEODORO,GEEE825014,S.EL. - G.GARIBALDI -,VIA BOLOGNA 6 A - 10 A,Non Disponibile,GEIC825002@istruzione.it,Non Disponibile,www.icsanteodoro.edu.it,NO,109,"VIA BOLOGNA 6 A - 10 A, GENOVA",44.4177287,8.9082746,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC825002,I.C. SAN TEODORO,GEEE825025,S.EL. - CHIABRERA -,VIA ASILO GARBARINO 1,Non Disponibile,GEIC825002@istruzione.it,Non Disponibile,www.icsanteodoro.edu.it,NO,120,"VIA ASILO GARBARINO 1, GENOVA",44.4156384,8.9131254,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC825002,I.C. SAN TEODORO,GEEE825036,S.EL. - L.CICALA -,VIA RIGOLA 52,Non Disponibile,GEIC825002@istruzione.it,Non Disponibile,www.icsanteodoro.edu.it,NO,116,"VIA RIGOLA 52, GENOVA",44.4135119,8.9059502,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC82700N,I.C. MOLASSANA E PRATO,GEEE82703T,S.EL. DI S.GIACOMO,VIA RIO MAGGIORE 1 B,Non Disponibile,GEIC82700N@istruzione.it,Non Disponibile,www.icmolassanaeprato.edu.it,NO,80,"VIA RIO MAGGIORE 1 B, GENOVA",44.4605092,8.9792395,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC82700N,I.C. MOLASSANA E PRATO,GEEE82702R,S.EL. DI PINO SOPRANO,SALITA PINO SOTTANO 20,Non Disponibile,GEIC82700N@istruzione.it,Non Disponibile,www.icmolassanaeprato.edu.it,NO,58,"SALITA PINO SOTTANO 20, GENOVA",44.4576185,8.9718183,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC82700N,I.C. MOLASSANA E PRATO,GEEE82704V,S.EL. - A.DORIA -,VIA STRUPPA 148,Non Disponibile,GEIC82700N@istruzione.it,Non Disponibile,www.icmolassanaeprato.edu.it,NO,85,"VIA STRUPPA 148, GENOVA",44.4479709,9.0057197,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC82700N,I.C. MOLASSANA E PRATO,GEEE82701Q,S.EL. - SANTULLO -,VIA S.FELICE 19,Non Disponibile,GEIC82700N@istruzione.it,Non Disponibile,www.icmolassanaeprato.edu.it,NO,189,"VIA S.FELICE 19, GENOVA",44.4560483,8.9826645,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC82700N,I.C. MOLASSANA E PRATO,GEMM82701P,SMS MOLASSANA-SMS D'AZEGLIO,MOLASSANA 71-SAL.MADONNETTA STRUPPA 5,Non Disponibile,GEIC82700N@istruzione.it,Non Disponibile,www.icmolassanaeprato.edu.it,NO,406,"MOLASSANA 71-SAL.MADONNETTA STRUPPA 5, GENOVA",44.4543498,8.9824951,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC82700N,I.C. MOLASSANA E PRATO,GEEE82705X,S.EL. DI PRATO,VIA STRUPPA 214 A,Non Disponibile,GEIC82700N@istruzione.it,Non Disponibile,www.icmolassanaeprato.edu.it,NO,101,"VIA STRUPPA 214 A, GENOVA",44.4498484,9.0123315,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC82700N,I.C. MOLASSANA E PRATO,GEEE827061,S.EL. DI S.SIRO DI STRUPPA,SALITA MADONNETTA DI STRUPPA 6,Non Disponibile,GEIC82700N@istruzione.it,Non Disponibile,www.icmolassanaeprato.edu.it,NO,38,"SALITA MADONNETTA DI STRUPPA 6, GENOVA",44.448355,9.000332,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC83000D,I.C. MONTALDO,GEEE83002L,S.EL. - A.FRANK -,PIAZZALE PAUL VALERY 9,Non Disponibile,GEIC83000D@istruzione.it,Non Disponibile,https//www.icmontaldo-genova.edu.it/,NO,189,"PIAZZALE PAUL VALERY 9, GENOVA",44.4199106,8.9529541,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC83000D,I.C. MONTALDO,GEMM83001E,I.C. MONTALDO /EX CANTORE,CORSO DE STEFANIS 56,Non Disponibile,GEIC83000D@istruzione.it,Non Disponibile,https//www.icmontaldo-genova.edu.it/,NO,218,"CORSO DE STEFANIS 56, GENOVA",44.4161102,8.9547627,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC83000D,I.C. MONTALDO,GEEE83001G,S.EL. - G.DA PASSANO -,VIA MONTALDO 8,Non Disponibile,GEIC83000D@istruzione.it,Non Disponibile,www.icmontaldo-genova.gov.it,NO,244,"VIA MONTALDO 8, GENOVA",44.4228895,8.9465047,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC83000D,I.C. MONTALDO,GEEE83003N,S.EL. - A.BURLANDO -,VIA A.BURLANDO 48,Non Disponibile,Non Disponibile,Non Disponibile,https//www.icmontaldo-genova.edu.it/,NO,72,"VIA A.BURLANDO 48, GENOVA",44.4211532,8.9445918,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC83000D,I.C. MONTALDO,GEEE83004P,S.EL. - GIOVINE ITALIA -,VIA MONTALDO 61,Non Disponibile,Non Disponibile,Non Disponibile,https//www.icmontaldo-genova.edu.it/,NO,130,"VIA MONTALDO 61, GENOVA",44.4152861,8.9480839,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC831009,I.C. MARASSI,GEMM83101A,I.C. MARASSI /SMS LOMELLINI,PIAZZA G.FERRARIS 4 B,Non Disponibile,GEIC831009@istruzione.it,Non Disponibile,www.icmarassi.gov.it,NO,306,"PIAZZA G.FERRARIS 4 B, GENOVA",44.4170166,8.95734,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC831009,I.C. MARASSI,GEEE83101B,S.EL. - PAPA GIOVANNI XXIII -,PIAZZA G.FERRARIS 4,Non Disponibile,GEIC831009@istruzione.it,Non Disponibile,www.icmarassi.gov.it,NO,444,"PIAZZA G.FERRARIS 4, GENOVA",44.4170166,8.95734,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC833001,I.C. QUEZZI,GEEE833013,S.EL. - B.BALL -,SALITA COSTA DEI RATTI 6 A,Non Disponibile,GEIC833001@istruzione.it,Non Disponibile,www.icquezzi.edu.it,NO,55,"SALITA COSTA DEI RATTI 6 A, GENOVA",44.423727,8.972888,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC833001,I.C. QUEZZI,GEMM833012,I.C.QUEZZI-S.M.S. GOVI-CAMBIASO,VIA PIERO PINETTI 68,Non Disponibile,GEIC833001@istruzione.it,Non Disponibile,www.comprensivoquezzi.it,NO,261,"VIA PIERO PINETTI 68, GENOVA",44.4209346,8.9731728,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC833001,I.C. QUEZZI,GEEE833046,S.EL. - G.FANCIULLI -,VIALE C.BRACELLI 59,Non Disponibile,GEIC833001@istruzione.it,Non Disponibile,www.comprensivoquezzi.it,NO,137,"VIALE C.BRACELLI 59, GENOVA",44.4194067,8.9622051,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC833001,I.C. QUEZZI,GEEE833035,S.EL. - G.BORSI -,VIA FRATELLI CERVI 1,Non Disponibile,GEIC833001@istruzione.it,Non Disponibile,www.comprensivoquezzi.it,NO,71,"VIA FRATELLI CERVI 1, GENOVA",44.4212387,8.9609234,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC833001,I.C. QUEZZI,GEEE833024,S.EL. - S.FONTANAROSSA -,VIA GINESTRATO 11,Non Disponibile,GEIC833001@istruzione.it,Non Disponibile,www.comprensivoquezzi.it,NO,91,"VIA GINESTRATO 11, GENOVA",44.4209879,8.9736289,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC83500L,I.C.PRA',GEEE83503R,THOUAR PRIMARIA 2,VIA VILLINI NEGRONE 2/ C,Non Disponibile,GEIC83500L@istruzione.it,Non Disponibile,www.icpra.edu.it,NO,96,"VIA VILLINI NEGRONE 2/ C, GENOVA",44.4280689,8.7847683,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC83500L,I.C.PRA',GEEE83501P,S.EL. - E.MONTANELLA -,VIA BRANEGA 10,Non Disponibile,GEIC83500L@istruzione.it,Non Disponibile,www.icpra.edu.it,NO,174,"VIA BRANEGA 10, GENOVA",44.4297295,8.7769871,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC83500L,I.C.PRA',GEEE83505V,S.EL. - N.PAGANINI -,VIA MARTIRI DEL TURCHINO 40,Non Disponibile,Non Disponibile,Non Disponibile,www.icpra.edu.it,NO,61,"VIA MARTIRI DEL TURCHINO 40, GENOVA",44.4312108,8.7670734,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC83500L,I.C.PRA',GEEE83504T,S.EL - A.MORO -,VIA MARTIRI DEL TURCHINO 99,Non Disponibile,Non Disponibile,Non Disponibile,www.icpra.edu.it,NO,42,"VIA MARTIRI DEL TURCHINO 99, GENOVA",44.4339638,8.7643376,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC83500L,I.C.PRA',GEMM83501N,I.C. PRA'-EX ASSAROTTI,VIA BRANEGA 10 C,Non Disponibile,GEIC83500L@istruzione.it,Non Disponibile,WWW.ICPRA.EDU.IT,NO,254,"VIA BRANEGA 10 C, GENOVA",44.4291364,8.7773466,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC83500L,I.C.PRA',GEEE83502Q,S.EL. - P.THOUAR -,VIA C.AIRAGHI 9,Non Disponibile,GEIC83500L@istruzione.it,Non Disponibile,www.icpra.edu.it,NO,159,"VIA C.AIRAGHI 9, GENOVA",44.4276282,8.7866106,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC83600C,I.C. CORNIGLIANO,GEEE83601E,S.EL. - D.FERRERO -,VIA N.CERVETTO 42,Non Disponibile,GEIC83600C@istruzione.it,Non Disponibile,www.iccornigliano.edu.it,NO,329,"VIA N.CERVETTO 42, GENOVA",44.416844,8.8728356,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC83600C,I.C. CORNIGLIANO,GEMM83601D,I.C.CORNIGLIANO - EX VOLTA,VIA CORNIGLIANO 9,Non Disponibile,GEIC83600C@istruzione.it,Non Disponibile,www.iccornigliano.edu.it,NO,324,"VIA CORNIGLIANO 9, GENOVA",44.4163618,8.8755076,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC83600C,I.C. CORNIGLIANO,GEEE83603L,SC.ELEM. DON BOSCO,VIA CORONATA 48,Non Disponibile,GEIC83600C@istruzione.it,Non Disponibile,www.iccornigliano.edu.it,NO,98,"VIA CORONATA 48, GENOVA",44.420793,8.8765571,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC83600C,I.C. CORNIGLIANO,GEEE83602G,S.EL. - C.SBARBARO -,VIA G.BORDONE 12,Non Disponibile,GEIC83600C@istruzione.it,Non Disponibile,www.iccornigliano.edu.it,NO,97,"VIA G.BORDONE 12, GENOVA",44.4168966,8.8649059,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC837008,I.C. SESTRI EST,GEMM837019,I.C. SESTRI EST / S.M.S.GRAMSCI,VIA BOEDDU 10,Non Disponibile,GEIC837008@istruzione.it,Non Disponibile,www.icsestriest.gov.it,NO,234,"VIA BOEDDU 10, GENOVA",44.423881,8.856485,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC837008,I.C. SESTRI EST,GEEE83701A,N.TOMMASEO,VIA BOEDDU 12,Non Disponibile,GEIC837008@istruzione.it,Non Disponibile,www.icsestriest.gov.it,NO,192,"VIA BOEDDU 12, GENOVA",44.4237313,8.8569367,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC837008,I.C. SESTRI EST,GEEE83703C,S.EL. - O.FOGLIETTA -,VIA URSONE DA SESTRI 5,Non Disponibile,GEIC837008@istruzione.it,Non Disponibile,www.icsestriest.gov.it,NO,301,"VIA URSONE DA SESTRI 5, GENOVA",44.4242826,8.8481785,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC838004,I.C. SAN GIOVANNI BATTISTA,GEMM838015,I.C.SAN G.BATTISTA/CENTURIONE,SALITA INFERIORE CATALDI 5,Non Disponibile,GEIC838004@istruzione.it,Non Disponibile,www.icsangiovannibattista.it,NO,277,"SALITA INFERIORE CATALDI 5, GENOVA",44.4292868,8.8441385,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC838004,I.C. SAN GIOVANNI BATTISTA,GEEE838027,S.EL. - G.RODARI -,PIAZZA DI VITTORIO 6,Non Disponibile,GEIC838004@istruzione.it,Non Disponibile,www.icsangiovannibattista.it,NO,204,"PIAZZA DI VITTORIO 6, GENOVA",44.4307566,8.8473455,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC838004,I.C. SAN GIOVANNI BATTISTA,GEEE838016,S.EL. - S.GIOVANNI BATTISTA -,VIA ANDREA DEL SARTO 20,Non Disponibile,GEIC838004@istruzione.it,Non Disponibile,www.icsangiovannibattista.it,NO,226,"VIA ANDREA DEL SARTO 20, GENOVA",44.4301704,8.849971,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC83900X,ISTITUTO COMPRENSIVO SESTRI,GEEE839012,SCUOLA PRIMARIA G. CARDUCCI,VIALE E. RIGON 16,Non Disponibile,GEIC83900X@istruzione.it,Non Disponibile,www.icsestri.it,NO,337,"VIALE E. RIGON 16, GENOVA",44.4273048,8.8433252,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC83900X,ISTITUTO COMPRENSIVO SESTRI,GEMM839011,IC SESTRI SC SE DANTE ALIGHIERI,VIA VADO 39,Non Disponibile,GEIC83900X@istruzione.it,Non Disponibile,www.icsestri.it,NO,376,"VIA VADO 39, GENOVA",44.4277454,8.8408842,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC83900X,ISTITUTO COMPRENSIVO SESTRI,GEEE839034,SCUOLA PRIMARIA V. ALFIERI,VIA P. ROSTAN 7,Non Disponibile,GEIC83900X@istruzione.it,Non Disponibile,www.icsestri.it,NO,64,"VIA P. ROSTAN 7, GENOVA",44.4268645,8.8275532,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC83900X,ISTITUTO COMPRENSIVO SESTRI,GEEE839023,SCUOLA PRIMARIA R. PEZZANI,VIA SANT'ALBERTO 18 A,Non Disponibile,GEIC83900X@istruzione.it,Non Disponibile,www.icsestri.it,NO,84,"VIA SANT'ALBERTO 18 A, GENOVA",44.4314,8.83882,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC840004,I.C. CERTOSA,GEIC840004,I.C. CERTOSA,VIA GAZ 3,Non Disponibile,GEIC840004@istruzione.it,geic840004@pec.istruzione.it,www.iccertosa.edu.it,NO,159,"VIA GAZ 3, GENOVA",44.4286553,8.8918532,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC840004,I.C. CERTOSA,GEMM840015,I.C.CERTOSA - SMS CAFFARO,VIA GAZ 3,Non Disponibile,GEIC840004@istruzione.it,Non Disponibile,www.iccertosa.gov.it,NO,148,"VIA GAZ 3, GENOVA",44.4286553,8.8918532,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC840004,I.C. CERTOSA,GEEE840016,S.EL. - L.ARIOSTO -,VIA L.ARIOSTO 1,Non Disponibile,GEIC840004@istruzione.it,Non Disponibile,www.iccertosa.gov.it,NO,412,"VIA L.ARIOSTO 1, GENOVA",44.4295419,8.8956511,SCUOLA PRIMARIA
